Tên kho,Mã hàng,Tên hàng,ĐVT,Nhóm VTHH,Đơn giá cố định
Thực phẩm và Bánh Trái,CYCT,Lộc Phát- Cháo yến chay nấm hương 30gói/Thùng,Thùng," 199,000 ",LỘC PHÁT
Thực phẩm và Bánh Trái,CYLTBT,Lộc Phát-Cháo Yến Ly 24ly/Thùng,Thùng," 220,000 ",LỘC PHÁT
Thực phẩm và Bánh Trái,CYTBT1,Lộc Phát- Cháo Yến 30gói/Thùng,Thùng," 211,000 ",LỘC PHÁT
Thực phẩm và Bánh Trái,NYNDT,Lộc Phát-Nước Yến Nha đam 24chai/Thùng,Thùng," 182,000 ",LỘC PHÁT
Thực phẩm và Bánh Trái,TBT415,Lộc Phát-Trà Bá Tước 415ml,Thùng," 170,000 ",LỘC PHÁT
Thực phẩm và Bánh Trái,I100G,Bánh gạo ICHI vị mật ong 100g (nhỏ),Gói," 14,000 ",ONEONE
Thực phẩm và Bánh Trái,I140G,Bánh gạo ICHI vị mật ong 140g,Gói," 19,000 ",ONEONE
Thực phẩm và Bánh Trái,I180G,Bánh gạo ICHI vị mật ong 180g (lớn),Gói," 24,000 ",ONEONE
Thực phẩm và Bánh Trái,OB,Bánh mặn One One vị Bò nướng 150g (nhỏ),Gói," 18,000 ",ONEONE
Thực phẩm và Bánh Trái,OB104,Bánh gạo One One tảo biển bạch tuộc 104g,Gói," 14,000 ",ONEONE
Thực phẩm và Bánh Trái,OM118G,Bánh mặn One One vị Pho mai Ngô 118g,Gói," 21,000 ",ONEONE
Thực phẩm và Bánh Trái,ON150,Bánh ngọt One One 150g (nhỏ),Gói," 14,000 ",ONEONE
Thực phẩm và Bánh Trái,ON230G,Bánh ngọt One One 230g (lớn),Gói," 20,000 ",ONEONE
Thực phẩm và Bánh Trái,OT,Bánh mặn One One vị tôm nướng 150gr (nhỏ),Gói," 18,000 ",ONEONE
Thực phẩm và Bánh Trái,PMS118G,Bánh Gạo One One Phô Mai Sữa 118g,Gói," 21,000 ",ONEONE
Thực phẩm và Bánh Trái,SN120G,Bánh One One sữa ngô 120g,Gói," 14,000 ",ONEONE
Thực phẩm và Bánh Trái,1B123039163,Lays Bò nướng 42g,Gói," 8,500 ",PESICO
Thực phẩm và Bánh Trái,1G123048125,Lays Gà cay Hàn Quốc 42g,Gói," 8,500 ",PESICO
Thực phẩm và Bánh Trái,1H123019163,Lays Tôm Trứng 42g,Gói," 8,500 ",PESICO
Thực phẩm và Bánh Trái,1K123052189,Lays Kem hành 442g,Gói," 8,500 ",PESICO
Thực phẩm và Bánh Trái,1M123016163,Lays Phô mai x 42g,Gói," 8,500 ",PESICO
Thực phẩm và Bánh Trái,1N123022163,Lays Tự nhiên x42g,Gói," 8,500 ",PESICO
Thực phẩm và Bánh Trái,1N123052188,Lays Nấm Truffle 42g,Gói," 8,500 ",PESICO
Thực phẩm và Bánh Trái,1S123002163,Lays Sườn BBQ 42g,Gói," 8,500 ",PESICO
Thực phẩm và Bánh Trái,1T123041163,Lays Tảo biển 42g,Gói," 8,500 ",PESICO
Thực phẩm và Bánh Trái,1W123051188,Lays Bò Wagyu 42g,Gói," 8,500 ",PESICO
Thực phẩm và Bánh Trái,20B123039152,Lays Thăn Bò nướng 90g,Gói," 16,500 ",PESICO
Thực phẩm và Bánh Trái,20B123039153,Lays Bò Wagyu 75g,Gói," 16,500 ",PESICO
Thực phẩm và Bánh Trái,20G123048152,Lays Gà cay Phô mai 90,Gói," 16,500 ",PESICO
Thực phẩm và Bánh Trái,20K123438041,Lays MAX Kem hành 75g ,Gói," 16,500 ",PESICO
Thực phẩm và Bánh Trái,20M123205152,Lays Phô Mai 90g,Gói," 16,500 ",PESICO
Thực phẩm và Bánh Trái,20N123206152,Lays Tự nhiên Classic 90g,Gói," 16,500 ",PESICO
Thực phẩm và Bánh Trái,20S123213152,Lays Sườn nướng BBQ 90g,Gói," 16,500 ",PESICO
Thực phẩm và Bánh Trái,20T123041152,Lays Tảo biển Nori 90g,Gói," 16,500 ",PESICO
Thực phẩm và Bánh Trái,5B120103151,Poca Bò lúc lắc 35g,Gói," 3,800 ",PESICO
Thực phẩm và Bánh Trái,5B120132151,Poca Bắp ngọt 35g,Gói," 3,800 ",PESICO
Thực phẩm và Bánh Trái,5B120139167,Poca Bí đỏ 35g,Gói," 3,800 ",PESICO
Thực phẩm và Bánh Trái,5G120124151,Poca Gà Quay 35g,Gói," 3,800 ",PESICO
Thực phẩm và Bánh Trái,5M120118151,Poca Mực lăn 35g,Gói," 3,800 ",PESICO
Thực phẩm và Bánh Trái,5M12013683,Poca Mực cay 35g,Gói," 3,800 ",PESICO
Thực phẩm và Bánh Trái,5PT120501121,Poca Phồng Tôm 35g,Gói," 3,800 ",PESICO
Thực phẩm và Bánh Trái,5Q120137160,Poca Que giòn 35g,Gói," 3,800 ",PESICO
Thực phẩm và Bánh Trái,5Q120138160,Poca Que Phô mai 35g,Gói," 3,800 ",PESICO
Thực phẩm và Bánh Trái,5T120102151,Poca Tôm Hùm 35g,Gói," 3,800 ",PESICO
Thực phẩm và Bánh Trái,6B123039028,Lays Thăn bò 35g,Gói," 5,000 ",PESICO
Thực phẩm và Bánh Trái,6C123055205,Lays Chiu® Tự Nhiên 35g,Gói," 5,000 ",PESICO
Thực phẩm và Bánh Trái,6G123048017,Lays Gà Cay Hàn Quốc 35g,Gói," 5,000 ",PESICO
Thực phẩm và Bánh Trái,6H23002024,Lays Tôm Trứng muối Hongkon 35g,Gói," 5,000 ",PESICO
Thực phẩm và Bánh Trái,6M123035024,Lays Phô mai 35g,Gói," 5,000 ",PESICO
Thực phẩm và Bánh Trái,6N123020024,Lays Tự nhiên 35g,Gói," 5,000 ",PESICO
Thực phẩm và Bánh Trái,6Q123054205,Lays Chiu® BBQ 35g,Gói," 5,000 ",PESICO
Thực phẩm và Bánh Trái,6S123013024,Lays Sườn BBQ 35g,Gói," 5,000 ",PESICO
Thực phẩm và Bánh Trái,6T123041024,Lays Tảo biển 35g,Gói," 5,000 ",PESICO
Thực phẩm và Bánh Trái,P1B120103175,Poca Bò Lúc Lắc 65g,Gói," 7,300 ",PESICO
Thực phẩm và Bánh Trái,P1B120132193,Poca Bắp Ngọt 65g,Gói," 7,300 ",PESICO
Thực phẩm và Bánh Trái,P1G120124184,Poca Gà Quay 65g,Gói," 7,300 ",PESICO
Thực phẩm và Bánh Trái,P1M120135175,Poca Mực Lăn 65g,Gói," 7,300 ",PESICO
Thực phẩm và Bánh Trái,P1P120501194,Poca Phồng 60g,Gói," 7,300 ",PESICO
Thực phẩm và Bánh Trái,P1Q120137184,Poca Que BBQ 70g,Gói," 7,300 ",PESICO
Thực phẩm và Bánh Trái,P1T102135177,Poca Tôm Nướng 65g ,Gói," 7,300 ",PESICO
Thực phẩm và Bánh Trái,301000007,Mì 3M Chay lá đa,Thùng,80000,Mì ba miền
Thực phẩm và Bánh Trái,301000009,Mì 3M Tôm hùm,Thùng,80000,Mì ba miền
Thực phẩm và Bánh Trái,301000021,Mì 3MG chua cay 3 cấp độ,Thùng," 116,000 ",Mì ba miền
Thực phẩm và Bánh Trái,301000022,Mì 3MG Bò hầm rau thơm,Thùng," 116,000 ",Mì ba miền
Thực phẩm và Bánh Trái,301000024,Mì 3MG Tôm chua cay đặc biệt,Thùng," 116,000 ",Mì ba miền
Thực phẩm và Bánh Trái,301000030,Mì Reeva Lẩu nấm chua cay,Thùng," 215,000 ",Mì ba miền
Thực phẩm và Bánh Trái,301000055,Mì 3M Tôm chua cay (X2 Tôm),Thùng," 72,000 ",Mì ba miền
Thực phẩm và Bánh Trái,301000059,Mì Reeva Fresh Lẩu nấm chua ca,Thùng," 215,000 ",Mì ba miền
Thực phẩm và Bánh Trái,301000060,Mì 3MG Tôm chua cay đb (2X Nước cốt),Thùng," 116,000 ",Mì ba miền
Thực phẩm và Bánh Trái,301000061,Mì 3MG Bò hầm rau thơm (2X Nước cốt),Thùng," 116,000 ",Mì ba miền
Thực phẩm và Bánh Trái,301000063,Mì 3M Tôm hùm (X2 Tôm),Thùng," 80,000 ",Mì ba miền
Thực phẩm và Bánh Trái,301000068,Mì Reeva Fresh Lẩu nấm chua cay,Thùng," 215,000 ",Mì ba miền
Thực phẩm và Bánh Trái,303000000,Hạt nêm 3M Thịt&Xương,Thùng," 400,000 ",Mì ba miền
Thực phẩm và Bánh Trái,304000006,Nước mắn 3M Cá Cơm,Thùng," 340,000 ",Mì ba miền
Thực phẩm và Bánh Trái,305000003,Boncha-Chanh 330ml,Thùng," 145,000 ",Mì ba miền
Thực phẩm và Bánh Trái,HLBĐ220,Sữa Hà Lan Bịch 220ml - Có Đường,Thùng," 286,000 ",MILK
Thực phẩm và Bánh Trái,HLHD180,Sữa Hà Lan Hộp 180ml - Dâu,Thùng," 318,000 ",MILK
Thực phẩm và Bánh Trái,HLHĐ180,Sữa Hà Lan Hộp 180ml - Có Đường,Thùng," 318,000 ",MILK
Thực phẩm và Bánh Trái,MLH180,Sữa Milo Hộp 180ml,Thùng," 344,000 ",MILK
Thực phẩm và Bánh Trái,SSC80,Sữa Su Su Lọ 80ml - Cam,Thùng," 165,000 ",MILK
Thực phẩm và Bánh Trái,SSD80,Sữa Su Su Lọ 80ml - Dâu,Thùng," 165,000 ",MILK
Thực phẩm và Bánh Trái,SST80,Sữa Su Su Lọ 80ml - Táo,Thùng," 165,000 ",MILK
Thực phẩm và Bánh Trái,VBĐ220,Sữa Vinamilk Bịch 220ml - Có Đường,Thùng," 319,000 ",MILK
Thực phẩm và Bánh Trái,VBKĐ220,Sữa Vinamilk Bịch 220ml - Không Đường,Thùng," 319,000 ",MILK
Thực phẩm và Bánh Trái,VH1LĐ,Sữa Vinamilk Hộp 1L - Có Đường ,Thùng," 371,000 ",MILK
Thực phẩm và Bánh Trái,VH1LKĐ,Sữa Vinamilk Hộp 1L - Không Đường ,Thùng," 371,000 ",MILK
Thực phẩm và Bánh Trái,VHĐ110,Sữa Vinamilk Hộp 110ml - Có Đường,Thùng," 219,000 ",MILK
Thực phẩm và Bánh Trái,VHĐ180,Sữa Vinamilk Hộp 180ml - Có Đường,Thùng," 340,000 ",MILK
Thực phẩm và Bánh Trái,VPNG380,Sữa Đặc Sao Giấy - Nhỏ  ( 24 Hộp x 380G ),Thùng," 19,000 ",MILK
Thực phẩm và Bánh Trái,VPNK1284,Sữa Đặc Sao Giấy - Lớn ( 12 Hộp x 1.284kg ),Thùng," 31,000 ",MILK
Thực phẩm và Bánh Trái,YMC170,Sữa Yomost Cam 170ml ,Thùng," 318,000 ",MILK
Thực phẩm và Bánh Trái,YMD170,Sữa Yomost Dâu 170ml ,Thùng," 318,000 ",MILK
Chăm sóc gia đình,101168467,Lipton Nhãn vàng 100 góix36,Hộp,118000,Uniliver
Chăm sóc gia đình,101168468,Lipton Trà xanh SD Tuoi moi 18x25x1.5g,Hộp,43000,Uniliver
Chăm sóc gia đình,101168469,Lipton Trà xanh SD Tuoi moi 12x(50x1.5g),Hộp,73000,Uniliver
Chăm sóc gia đình,101168490,Lipton English Breakfast 18 (25x2.4g),Hộp,68000,Uniliver
Chăm sóc gia đình,101168493,Lipton Nhãn Vàng 50 gói x24,Hộp,73000,Uniliver
Chăm sóc gia đình,101168494,Lipton Nhãn Vàng 25 gói x48,Hộp,43000,Uniliver
Chăm sóc gia đình,101168495,Lipton Trà sữa Oolong 17gx30 hộp,Hộp,52000,Uniliver
Chăm sóc gia đình,101168496,Lipton Trà sữa Matcha 17gx30 hộp,Hộp,52000,Uniliver
Chăm sóc gia đình,101168497,Lipton Vị Xoài 17gx30 hộp,Hộp,42000,Uniliver
Chăm sóc gia đình,101168498,Lipton Ice Tea Chanh 14gx30 hộp,Hộp,42000,Uniliver
Chăm sóc gia đình,101168499,Lipton Ice Tea Đào 14gx30 hộp,Hộp,42000,Uniliver
Chăm sóc gia đình,101168500,Lipton Ice Tea Chanh 16(2x16x14g+BTTL),Bộ,87000,Uniliver
Chăm sóc gia đình,1011685001,Lipton Ice Tea Xoài 16(2x16x14g+BTTL),Bộ,87000,Uniliver
Chăm sóc gia đình,101168501,Lipton Ice Tea Đào 16(2x16x14g+BTTL),Bộ,87000,Uniliver
Chăm sóc gia đình,101168502,Lipton Nhãn Vàng Envelope 100gói,Hộp,207000,Uniliver
Chăm sóc gia đình,101168505,Lipton Ba Tuoc 18x25x2g,Hộp,68000,Uniliver
Chăm sóc gia đình,101186590,Lipton Nhãn Vàng Hexagon 18x30sx2g,Hộp,57000,Uniliver
Chăm sóc gia đình,A100363569,Nước tẩy quần áo Axo Hương tươi mát 400Ml,Chai,27000,Green Cross
Chăm sóc gia đình,A100363570,Nước tẩy quần áo Axo Hương hoa Hương hoa hồng 400Ml,Chai,27000,Green Cross
Chăm sóc gia đình,A100363571,Nước tẩy quần áo Axo Hương mùa xuân 400ML,Chai,27000,Green Cross
Chăm sóc gia đình,A100363572,Nước tẩy quần áo Axo Hương tươi mát 800Ml,Chai,50000,Green Cross
Chăm sóc gia đình,A100363573,Nước tẩy quần áo Axo Hương hoa hồng 800ML,Chai,50000,Green Cross
Chăm sóc gia đình,A100363574,Nước tẩy quần áo Axo Hương mùa xuân 800Ml,Chai,50000,Green Cross
Chăm sóc gia đình,A100508716,Nước tẩy quần áo Axo Hương Lavender 400Ml,Chai,27000,Green Cross
Chăm sóc gia đình,A100508717,Nước tẩy quần áo Axo Hương Lavender 800Ml,Chai,50000,Green Cross
Chăm sóc gia đình,A100508718,Nước tẩy quần áo AXO Trắng Thanh Khiết 800ml,Chai,54000,Green Cross
Chăm sóc gia đình,A100569931,Nước tẩy quần áo Axo Hương hoa hồng 1.8L,Chai,103000,Green Cross
Chăm sóc gia đình,B101034016,Bao cao su One True Fit 3pcs-Xanh lá,Hộp,36000,DKSH
Chăm sóc gia đình,B101034017,Bao cao su One Super Sensitive 3pcs-Xanh dương,Hộp,52000,DKSH
Chăm sóc gia đình,B101034019,Bao cao su One Super Studs 3pcs-Cam,Hộp,58000,DKSH
Chăm sóc gia đình,B101034060,Bao cao su One Mixed Pleasure 3pcs-Tím,Hộp,60000,DKSH
Tiện ích và sức khỏe,D100794127,Devondale Sữa bột 1Kg x 8 gói ,Gói,279000,Devondale
Tiện ích và sức khỏe,D100965027,Devondale FullCream Xanh 6x200ml,Thùng,318000,Devondale
Tiện ích và sức khỏe,D100965028,Devondale FullCream Xanh 1Lx10,Thùng,460000,Devondale
Tiện ích và sức khỏe,D100965029,Devondale Fullcream 2L x 6 hộp,Hộp,81000,Devondale
Tiện ích và sức khỏe,D100965030,Devondale Fullcream Dâu 6x200ml,Thùng,347000,Devondale
Chăm sóc gia đình,G100363575,Green Cross RT Táo 100ML,Chai,26000,Green Cross
Chăm sóc gia đình,G100363576,Green Cross RT Tự nhiên 100ML,Chai,26000,Green Cross
Chăm sóc gia đình,G100363577,Green Cross RT Trà Xanh 100ML,Chai,26000,Green Cross
Chăm sóc gia đình,G100363578,Green Cross RT Dứa Táo 250ML,Chai,44000,Green Cross
Chăm sóc gia đình,G100363579,Green Cross RT Tự Nhiên 250ML,Chai,44000,Green Cross
Chăm sóc gia đình,G100363580,Green Cross RT Trà Xanh 250ML,Chai,44000,Green Cross
Chăm sóc gia đình,G100395687,Green Cross Xịt Dứa Táo 70ML,Chai,32000,Green Cross
Chăm sóc gia đình,G100395688,Green Cross Xịt Tự nhiên 70ML,Chai,32000,Green Cross
Chăm sóc gia đình,G100395689,Green Cross Xịt Trà Xanh 70ML,Chai,32000,Green Cross
Chăm sóc gia đình,G100395700,Green Cross GEL Dứa Táo 100ML,Chai,39000,Green Cross
Chăm sóc gia đình,G100395701,Green Cross GEL Tự nhiên 100ML,Chai,39000,Green Cross
Chăm sóc gia đình,G100395702,Green Cross GEL Trà xanh 100ML,Chai,39000,Green Cross
Chăm sóc gia đình,G100472642,Green Cross Xịt A2 Xanh Fresh 500ML,Chai,64000,Green Cross
Chăm sóc gia đình,G100533313,Green Cross Xịt A2 Cam Summer 500ML,Chai,64000,Green Cross
Chăm sóc gia đình,G100760039,Gatsby Kem Dưỡng Tóc 125g,Hũ,27000,Gatsby
Chăm sóc gia đình,G100760110,Gatsby Gel Mềm Tím 170g,Tuýp,39000,Gatsby
Chăm sóc gia đình,G100885874,Gatsby Khăn ướt BODY ICE CITRUS 30 tờ,Gói,102000,Gatsby
Chăm sóc gia đình,G100908621i,Gatsby Gel Tối Ưu Đen 170G,Tuyp,39000,Gatsby
Chăm sóc gia đình,G100922273,Gatsby Pomade Classy Dry Xám 75G,Hộp,71000,Gatsby
Chăm sóc gia đình,G100922274i,Gatsby Pomade Perfect Raise Đen 75G,Hộp,71000,Gatsby
